reference,sheet,field,truth
26_0242_FUL,01-1,floor_label,none
26_0242_FUL,01-1,north_arrow,yes
26_0242_FUL,02-1,scale,1:1250
26_0242_FUL,02-1,drawing_type,location_plan
26_0242_FUL,02-1,floor_label,none
26_0242_FUL,02-1,north_arrow,yes
26_0242_FUL,03-1,scale,various
26_0242_FUL,03-1,drawing_type,other
26_0242_FUL,03-1,floor_label,none
26_0242_FUL,03-1,north_arrow,yes
26_0268_FUL,01-1,scale,1:100
26_0268_FUL,01-1,drawing_type,floor_plan
26_0268_FUL,01-1,floor_label,multiple
26_0268_FUL,01-1,north_arrow,yes
26_0268_FUL,01-1,room_count,13
26_0268_FUL,02-1,scale,various
26_0268_FUL,02-1,drawing_type,location_plan
26_0268_FUL,02-1,floor_label,none
26_0268_FUL,02-1,north_arrow,yes
26_0268_FUL,03-1,scale,1:100
26_0268_FUL,03-1,drawing_type,floor_plan
26_0268_FUL,03-1,floor_label,multiple
26_0268_FUL,03-1,north_arrow,yes
26_0268_FUL,03-1,room_count,13
26_0279_FUL,01-1,scale,1:50
26_0279_FUL,01-1,drawing_type,elevation
26_0279_FUL,01-1,floor_label,none
26_0279_FUL,01-1,north_arrow,no
26_0279_FUL,02-1,scale,1:50
26_0279_FUL,02-1,drawing_type,floor_plan
26_0279_FUL,02-1,floor_label,multiple
26_0279_FUL,02-1,north_arrow,yes
26_0279_FUL,02-1,room_count,3
26_0279_FUL,03-1,scale,1:100
26_0279_FUL,03-1,drawing_type,site_plan
26_0279_FUL,03-1,floor_label,none
26_0279_FUL,03-1,north_arrow,yes
26_0279_FUL,04-1,scale,1:1250
26_0279_FUL,04-1,drawing_type,location_plan
26_0279_FUL,04-1,floor_label,none
26_0279_FUL,04-1,north_arrow,yes
26_0279_FUL,05-1,scale,1:100
26_0279_FUL,05-1,drawing_type,site_plan
26_0279_FUL,05-1,floor_label,none
26_0279_FUL,05-1,north_arrow,yes
26_0279_FUL,06-1,scale,1:50
26_0279_FUL,06-1,drawing_type,elevation
26_0279_FUL,06-1,floor_label,none
26_0279_FUL,06-1,north_arrow,no
26_0279_FUL,07-1,scale,1:50
26_0279_FUL,07-1,drawing_type,floor_plan
26_0279_FUL,07-1,floor_label,multiple
26_0279_FUL,07-1,north_arrow,yes
26_0279_FUL,07-1,room_count,3
26_0284_FUL,01-1,scale,1:100
26_0284_FUL,01-1,drawing_type,site_plan
26_0284_FUL,01-1,floor_label,none
26_0284_FUL,01-1,north_arrow,yes
26_0284_FUL,02-1,scale,1:50
26_0284_FUL,02-1,drawing_type,elevation
26_0284_FUL,02-1,floor_label,none
26_0284_FUL,02-1,north_arrow,no
26_0284_FUL,03-1,scale,1:50
26_0284_FUL,03-1,drawing_type,floor_plan
26_0284_FUL,03-1,floor_label,multiple
26_0284_FUL,03-1,north_arrow,yes
26_0284_FUL,03-1,room_count,3
26_0284_FUL,04-1,scale,1:50
26_0284_FUL,04-1,drawing_type,floor_plan
26_0284_FUL,04-1,floor_label,multiple
26_0284_FUL,04-1,north_arrow,yes
26_0284_FUL,04-1,room_count,3
26_0284_FUL,05-1,scale,1:50
26_0284_FUL,05-1,drawing_type,elevation
26_0284_FUL,05-1,floor_label,none
26_0284_FUL,05-1,north_arrow,no
26_0284_FUL,06-1,scale,1:1250
26_0284_FUL,06-1,drawing_type,location_plan
26_0284_FUL,06-1,floor_label,none
26_0284_FUL,06-1,north_arrow,yes
26_0284_FUL,07-1,scale,1:50
26_0284_FUL,07-1,drawing_type,floor_plan
26_0284_FUL,07-1,floor_label,multiple
26_0284_FUL,07-1,north_arrow,yes
26_0284_FUL,07-1,room_count,3
26_0295_FUL,01-1,scale,1:100
26_0295_FUL,01-1,drawing_type,floor_plan
26_0295_FUL,01-1,floor_label,multiple
26_0295_FUL,01-1,north_arrow,yes
26_0295_FUL,01-1,room_count,9
26_0295_FUL,02-1,scale,1:100
26_0295_FUL,02-1,drawing_type,elevation
26_0295_FUL,02-1,floor_label,none
26_0295_FUL,02-1,north_arrow,no
26_0295_FUL,03-1,scale,1:100
26_0295_FUL,03-1,drawing_type,floor_plan
26_0295_FUL,03-1,floor_label,multiple
26_0295_FUL,03-1,north_arrow,yes
26_0295_FUL,03-1,room_count,10
26_0295_FUL,04-1,scale,1:100
26_0295_FUL,04-1,drawing_type,elevation
26_0295_FUL,04-1,floor_label,none
26_0295_FUL,04-1,north_arrow,no
26_0295_FUL,05-1,scale,1:200
26_0295_FUL,05-1,drawing_type,site_plan
26_0295_FUL,05-1,floor_label,none
26_0295_FUL,05-1,north_arrow,yes
26_0295_FUL,06-1,scale,1:1250
26_0295_FUL,06-1,drawing_type,location_plan
26_0295_FUL,06-1,floor_label,none
26_0295_FUL,06-1,north_arrow,no
26_0304_FUL,01-1,scale,1:50
26_0304_FUL,01-1,drawing_type,site_plan
26_0304_FUL,01-1,floor_label,none
26_0304_FUL,01-1,north_arrow,yes
26_0304_FUL,02-1,scale,1:50
26_0304_FUL,02-1,drawing_type,floor_plan
26_0304_FUL,02-1,floor_label,ground
26_0304_FUL,02-1,north_arrow,yes
26_0304_FUL,02-1,room_count,5
26_0304_FUL,02-1,storeys,2
26_0304_FUL,03-1,scale,1:50
26_0304_FUL,03-1,drawing_type,floor_plan
26_0304_FUL,03-1,floor_label,multiple
26_0304_FUL,03-1,north_arrow,yes
26_0304_FUL,03-1,room_count,6
26_0304_FUL,04-1,scale,1:50
26_0304_FUL,04-1,drawing_type,elevation
26_0304_FUL,04-1,floor_label,none
26_0304_FUL,04-1,north_arrow,no
26_0304_FUL,05-1,scale,1:50
26_0304_FUL,05-1,drawing_type,section
26_0304_FUL,05-1,floor_label,none
26_0304_FUL,05-1,north_arrow,no
26_0304_FUL,06-1,scale,1:1250
26_0304_FUL,06-1,drawing_type,location_plan
26_0304_FUL,06-1,floor_label,none
26_0304_FUL,06-1,north_arrow,yes
26_0304_FUL,07-1,scale,1:25
26_0304_FUL,07-1,drawing_type,other
26_0304_FUL,07-1,floor_label,none
26_0304_FUL,07-1,north_arrow,no
26_0304_FUL,08-1,scale,1:100
26_0304_FUL,08-1,drawing_type,other
26_0304_FUL,08-1,floor_label,none
26_0304_FUL,08-1,north_arrow,yes
26_0304_FUL,09-1,scale,1:50
26_0304_FUL,09-1,drawing_type,site_plan
26_0304_FUL,09-1,floor_label,none
26_0304_FUL,09-1,north_arrow,yes
26_0304_FUL,10-1,scale,1:50
26_0304_FUL,10-1,drawing_type,site_plan
26_0304_FUL,10-1,floor_label,none
26_0304_FUL,10-1,north_arrow,yes
26_0304_FUL,11-1,scale,1:50
26_0304_FUL,11-1,drawing_type,floor_plan
26_0304_FUL,11-1,floor_label,ground
26_0304_FUL,11-1,north_arrow,yes
26_0304_FUL,11-1,room_count,5
26_0304_FUL,11-1,storeys,2
26_0304_FUL,12-1,scale,1:50
26_0304_FUL,12-1,drawing_type,floor_plan
26_0304_FUL,12-1,floor_label,multiple
26_0304_FUL,12-1,north_arrow,yes
26_0304_FUL,12-1,room_count,5
26_0304_FUL,13-1,scale,1:50
26_0304_FUL,13-1,drawing_type,elevation
26_0304_FUL,13-1,floor_label,none
26_0304_FUL,13-1,north_arrow,no
26_0304_FUL,14-1,scale,1:50
26_0304_FUL,14-1,drawing_type,section
26_0304_FUL,14-1,floor_label,none
26_0304_FUL,14-1,north_arrow,no
26_0329_FUL,01-1,scale,none
26_0329_FUL,01-1,drawing_type,other
26_0329_FUL,01-1,floor_label,none
26_0329_FUL,01-1,north_arrow,no
26_0329_FUL,02-1,scale,1:50
26_0329_FUL,02-1,drawing_type,site_plan
26_0329_FUL,02-1,floor_label,none
26_0329_FUL,02-1,north_arrow,yes
26_0329_FUL,03-1,scale,1:1250
26_0329_FUL,03-1,drawing_type,location_plan
26_0329_FUL,03-1,floor_label,none
26_0329_FUL,03-1,north_arrow,yes
26_0329_FUL,04-1,scale,1:50
26_0329_FUL,04-1,drawing_type,floor_plan
26_0329_FUL,04-1,floor_label,multiple
26_0329_FUL,04-1,north_arrow,yes
26_0329_FUL,04-1,room_count,6
26_0329_FUL,05-1,scale,1:100
26_0329_FUL,05-1,drawing_type,elevation
26_0329_FUL,05-1,floor_label,none
26_0329_FUL,05-1,north_arrow,yes
26_0329_FUL,06-1,scale,1:50
26_0329_FUL,06-1,drawing_type,floor_plan
26_0329_FUL,06-1,floor_label,multiple
26_0329_FUL,06-1,north_arrow,yes
26_0329_FUL,06-1,room_count,6
26_0329_FUL,07-1,scale,1:100
26_0329_FUL,07-1,drawing_type,elevation
26_0329_FUL,07-1,floor_label,none
26_0329_FUL,07-1,north_arrow,yes
26_0329_FUL,08-1,scale,1:50
26_0329_FUL,08-1,drawing_type,site_plan
26_0329_FUL,08-1,floor_label,none
26_0329_FUL,08-1,north_arrow,yes
26_0329_FUL,09-1,scale,1:50
26_0329_FUL,09-1,drawing_type,site_plan
26_0329_FUL,09-1,floor_label,none
26_0329_FUL,09-1,north_arrow,yes
26_0335_FUL,01-1,scale,1:1250
26_0335_FUL,01-1,drawing_type,location_plan
26_0335_FUL,01-1,floor_label,none
26_0335_FUL,01-1,north_arrow,no
26_0335_FUL,02-1,scale,various
26_0335_FUL,02-1,drawing_type,other
26_0335_FUL,02-1,floor_label,none
26_0335_FUL,02-1,north_arrow,no
26_0335_FUL,03-1,scale,various
26_0335_FUL,03-1,drawing_type,other
26_0335_FUL,03-1,floor_label,none
26_0335_FUL,03-1,north_arrow,no
26_0343_FUL,01-1,scale,various
26_0343_FUL,01-1,drawing_type,location_plan
26_0343_FUL,01-1,floor_label,none
26_0343_FUL,01-1,north_arrow,yes
26_0343_FUL,02-1,scale,various
26_0343_FUL,02-1,drawing_type,other
26_0343_FUL,02-1,floor_label,none
26_0343_FUL,02-1,north_arrow,no
26_0343_FUL,03-1,scale,various
26_0343_FUL,03-1,drawing_type,other
26_0343_FUL,03-1,floor_label,none
26_0343_FUL,03-1,north_arrow,yes
26_0581_FUL,01-1,scale,1:500
26_0581_FUL,01-1,drawing_type,site_plan
26_0581_FUL,01-1,floor_label,none
26_0581_FUL,01-1,north_arrow,yes
26_0581_FUL,02-1,scale,1:1250
26_0581_FUL,02-1,drawing_type,location_plan
26_0581_FUL,02-1,floor_label,none
26_0581_FUL,02-1,north_arrow,yes
26_0581_FUL,03-1,scale,1:50
26_0581_FUL,03-1,drawing_type,floor_plan
26_0581_FUL,03-1,floor_label,multiple
26_0581_FUL,03-1,north_arrow,yes
26_0581_FUL,03-1,room_count,4
26_0581_FUL,04-1,scale,1:50
26_0581_FUL,04-1,drawing_type,elevation
26_0581_FUL,04-1,floor_label,none
26_0581_FUL,04-1,north_arrow,no
26_0581_FUL,05-1,scale,1:50
26_0581_FUL,05-1,drawing_type,elevation
26_0581_FUL,05-1,floor_label,none
26_0581_FUL,05-1,north_arrow,no
26_0581_FUL,07-1,scale,1:500
26_0581_FUL,07-1,drawing_type,site_plan
26_0581_FUL,07-1,floor_label,none
26_0581_FUL,07-1,north_arrow,yes
26_0581_FUL,08-1,scale,1:50
26_0581_FUL,08-1,drawing_type,floor_plan
26_0581_FUL,08-1,floor_label,multiple
26_0581_FUL,08-1,north_arrow,yes
26_0581_FUL,08-1,room_count,3
26_0587_FUL,01-1,scale,1:50
26_0587_FUL,01-1,drawing_type,floor_plan
26_0587_FUL,01-1,floor_label,ground
26_0587_FUL,01-1,north_arrow,yes
26_0587_FUL,01-1,room_count,4
26_0587_FUL,01-1,storeys,2
26_0587_FUL,02-1,scale,1:50
26_0587_FUL,02-1,drawing_type,floor_plan
26_0587_FUL,02-1,floor_label,ground
26_0587_FUL,02-1,north_arrow,yes
26_0587_FUL,02-1,room_count,3
26_0587_FUL,02-1,storeys,2
26_0587_FUL,03-1,scale,various
26_0587_FUL,03-1,drawing_type,elevation
26_0587_FUL,03-1,floor_label,none
26_0587_FUL,03-1,north_arrow,no
26_0587_FUL,04-1,scale,1:100
26_0587_FUL,04-1,drawing_type,elevation
26_0587_FUL,04-1,floor_label,none
26_0587_FUL,04-1,north_arrow,no
26_0587_FUL,05-1,scale,1:200
26_0587_FUL,05-1,drawing_type,site_plan
26_0587_FUL,05-1,floor_label,none
26_0587_FUL,05-1,north_arrow,yes
26_0587_FUL,06-1,scale,1:1250
26_0587_FUL,06-1,drawing_type,location_plan
26_0587_FUL,06-1,floor_label,none
26_0587_FUL,06-1,north_arrow,yes
